START_DATE,rides,riders,scooters,revenue,avg_price,avg_duration,avg_distance,rides_7d,rides_28d,revenue_7d,revenue_28d,riders_7d
2019-06-21,1069,564,418,3908.87,3.6565668849391955,11.917524172123478,0.8221702525724977,1069.0,1069.0,3908.87,3908.87,564.0
2019-06-22,4080,2183,844,19059.48,4.671441176470588,13.559338239705882,1.0260563725490197,2574.5,2574.5,11484.175,11484.175,1373.5
2019-06-23,2869,1624,523,12796.65,4.460317183687696,13.863965369466714,1.0181944928546531,2672.6666666666665,2672.6666666666665,11921.666666666666,11921.666666666666,1457.0
2019-06-24,2060,1040,423,11698.58,5.6789223300970875,11.182491913592234,0.9866844660194174,2519.5,2519.5,11865.895,11865.895,1352.75
2019-06-25,1933,1132,460,10327.36,5.342659079151578,11.632721152612518,1.0451163993792034,2402.2,2402.2,11558.188,11558.188,1308.6
2019-06-26,1089,723,380,4438.57,4.075821854912764,15.945775945821854,0.901505968778696,2183.3333333333335,2183.3333333333335,10371.585,10371.585,1211.0
2019-06-27,1029,612,346,4458.04,4.332400388726919,11.688224818270166,0.7889018464528669,2018.4285714285713,2018.4285714285713,9526.792857142858,9526.792857142858,1125.4285714285713
2019-06-28,1218,813,339,5295.46,4.347668308702792,14.076587303776684,0.8540886699507388,2039.7142857142858,1918.375,9724.877142857144,8997.87625,1161.0
2019-06-29,1241,834,305,5068.44,4.084157937147461,13.926806334407734,0.8641176470588234,1634.142857142857,1843.111111111111,7726.157142857142,8561.272222222222,968.2857142857143
2019-06-30,2324,1289,426,8277.4,3.5617039586919104,13.438927139845095,0.7843588640275387,1556.2857142857142,1891.2,7080.55,8532.885,920.4285714285714
2019-07-01,1883,1135,456,8145.85,4.325995751460436,13.675668269251194,0.8504726500265534,1531.0,1890.4545454545455,6573.017142857143,8497.699999999999,934.0
2019-07-02,1563,936,442,6708.2,4.291874600127959,11.860887192578375,0.7652335252719129,1478.142857142857,1863.1666666666667,6055.994285714286,8348.574999999999,906.0
2019-07-03,1720,885,586,6628.84,3.8539767441860464,10.407354644767443,0.6903197674418604,1568.2857142857142,1852.1538461538462,6368.889999999999,8216.287692307693,929.1428571428571
2019-07-04,2269,1208,817,9840.83,4.33707800793301,12.577589260907889,0.8534067871308947,1745.4285714285713,1881.9285714285713,7137.860000000001,8332.326428571429,1014.2857142857143
2019-07-05,2424,1516,779,11495.74,4.74246699669967,13.238125696369638,0.8936221122112211,1917.7142857142858,1918.0666666666666,8023.614285714285,8543.220666666666,1114.7142857142858
2019-07-06,3953,2007,730,17145.87,4.3374323298760435,14.274226326081457,0.9116316721477359,2305.1428571428573,2045.25,9748.96142857143,9080.88625,1282.2857142857142
2019-07-07,2803,1487,486,11626.49,4.147873706742775,15.303097871209419,0.9597752408134143,2373.5714285714284,2089.823529411765,10227.402857142859,9230.627647058824,1310.5714285714287
2019-07-08,1116,725,356,5071.7,4.5445340501792115,12.686320180107527,0.8341487455197132,2264.0,2035.7222222222222,9788.238571428572,8999.576111111111,1252.0
2019-07-09,1340,828,482,6438.96,4.805194029850746,12.275957697014926,0.8641716417910448,2232.1428571428573,1999.1052631578948,9749.775714285714,8864.806842105263,1236.5714285714287
2019-07-10,1497,982,552,7394.8,4.939746158984636,12.717345815631264,0.9371743486973948,2200.285714285714,1974.0,9859.198571428571,8791.3065,1250.4285714285713
2019-07-11,1624,977,560,7743.81,4.768355911330049,12.121059113916255,0.8522044334975369,2108.1428571428573,1957.3333333333333,9559.624285714284,8741.425714285715,1217.4285714285713
2019-07-12,1591,1013,533,7568.98,4.757372721558768,12.699099098680074,0.8796480201131364,1989.142857142857,1940.6818181818182,8998.658571428572,8688.132727272729,1145.5714285714287
2019-07-13,2694,1735,837,11926.55,4.427078693392724,12.656811436154417,0.8564402375649591,1809.2857142857142,1973.4347826086957,8253.041428571429,8828.93347826087,1106.7142857142858
2019-07-14,2625,1709,772,11969.88,4.559954285714285,14.994761904761905,1.0226209523809524,1783.857142857143,2000.5833333333333,8302.097142857143,8959.80625,1138.4285714285713
2019-07-15,1809,1112,727,8762.99,4.844107241569928,12.306642696517414,0.8947042564953013,1882.857142857143,1992.92,8829.424285714285,8951.9336,1193.7142857142858
2019-07-16,2214,1343,843,10377.22,4.687091237579042,11.926972298554652,0.8563595302619693,2007.7142857142858,2001.423076923077,9392.032857142856,9006.752307692308,1267.2857142857142
2019-07-17,2721,1574,953,12504.67,4.595615582506431,11.90477765784638,0.8424843807423742,2182.5714285714284,2028.0740740740741,10122.014285714287,9136.304814814815,1351.857142857143
2019-07-18,2469,1489,928,12462.99,5.047788578371811,12.509977049007695,0.938120696638315,2303.285714285714,2043.8214285714287,10796.182857142858,9255.115,1425.0
2019-07-19,2450,1538,922,12861.52,5.2496,14.171367333877551,1.0853224489795918,2426.0,2093.1428571428573,11552.26,9574.852499999999,1500.0
2019-07-20,2784,1810,878,14456.22,5.19260775862069,15.13197438038793,1.1829310344827586,2438.8571428571427,2046.857142857143,11913.641428571427,9410.450357142856,1510.7142857142858
2019-07-21,2379,1608,828,12266.23,5.15604455653636,17.013780299705758,1.2023497267759562,2403.714285714286,2029.357142857143,11955.977142857142,9391.506785714286,1496.2857142857142
2019-07-22,2066,1278,829,11097.7,5.371587608906099,12.751419814133593,1.0388334946757019,2440.4285714285716,2029.5714285714287,12289.507142857143,9370.046785714285,1520.0
2019-07-23,2469,1513,907,13288.5,5.382138517618469,13.548798435803969,1.0509396516808425,2476.8571428571427,2048.714285714286,12705.404285714287,9475.801785714286,1544.2857142857142
2019-07-24,2486,1414,962,13003.37,5.2306395816572815,11.5026481536605,0.924569589702333,2443.285714285714,2098.6071428571427,12776.647142857142,9781.6875,1521.4285714285713
2019-07-25,2354,1385,953,12669.44,5.382090059473237,12.1485060913339,1.0158751062022089,2426.8571428571427,2145.9285714285716,12806.14,10074.951785714287,1506.5714285714287
2019-07-26,2552,1670,1027,13547.97,5.308765673981191,13.089041280956113,1.053608934169279,2441.4285714285716,2193.5714285714284,12904.204285714284,10369.684285714286,1525.4285714285713
2019-07-27,3548,2359,1209,19224.56,5.4184216459977455,14.209465428128524,1.1456595264937994,2550.5714285714284,2275.964285714286,13585.395714285714,10875.259999999998,1603.857142857143
2019-07-28,3598,2298,1253,19376.49,5.3853501945525295,15.224161570594774,1.2032712618121177,2724.714285714286,2321.464285714286,14601.147142857142,11271.656071428572,1702.4285714285713
2019-07-29,2221,1323,1012,12762.52,5.746294461954075,12.442308269698334,1.0286402521386764,2746.8571428571427,2333.535714285714,14838.978571428572,11436.537142857142,1708.857142857143
2019-07-30,2716,1603,1123,15729.48,5.791413843888071,13.41738463843888,1.154120029455081,2782.1428571428573,2374.714285714286,15187.69,11758.725714285712,1721.7142857142858
2019-07-31,2000,1243,1005,11847.11,5.923555,12.529724988,1.1063900000000002,2712.714285714286,2384.714285714286,15022.51,11945.0925,1697.2857142857142
2019-08-01,2513,1523,1093,13749.57,5.471376840429765,12.726435859928372,1.0180023875845603,2735.4285714285716,2393.4285714285716,15176.814285714287,12084.690357142857,1717.0
2019-08-02,2479,1630,1102,14371.57,5.797325534489714,12.267056607503024,1.0224687373941104,2725.0,2395.3928571428573,15294.471428571429,12187.398571428572,1711.2857142857142
2019-08-03,3753,2321,1248,20702.51,5.516256328270717,14.755235808952838,1.2101492139621635,2754.285714285714,2388.25,15505.607142857143,12314.421428571428,1705.857142857143
2019-08-04,3027,1889,996,16547.35,5.466584076643541,15.724551258011232,1.2710769739015528,2672.714285714286,2396.25,15101.444285714286,12490.16642857143,1647.4285714285713
2019-08-05,2587,1588,1050,14916.55,5.765964437572477,13.383591030150752,1.1330885195206803,2725.0,2448.785714285714,15409.162857142856,12841.768214285714,1685.2857142857142
2019-08-06,2650,1697,1065,15145.81,5.7154,14.105081773584905,1.1520754716981132,2715.5714285714284,2495.5714285714284,15325.781428571428,13152.727142857142,1698.7142857142858
2019-08-07,2947,1832,1137,16447.27,5.581021377672209,12.988949220223956,1.0491890057685782,2850.8571428571427,2547.3571428571427,15982.947142857143,13476.029642857144,1782.857142857143
2019-08-08,2695,1736,1103,14945.64,5.5456920222634505,12.849523807792208,1.056352504638219,2876.8571428571427,2585.6071428571427,16153.814285714283,13733.237857142856,1813.2857142857142
2019-08-09,3295,2061,1292,18106.55,5.495159332321699,13.58231664491654,1.0817116843702579,2993.4285714285716,2646.464285714286,16687.382857142857,14109.579642857145,1874.857142857143
2019-08-10,4239,2672,1469,22993.3,5.424227412125501,14.42766769190847,1.1736305732484078,3062.8571428571427,2701.6428571428573,17014.63857142857,14504.820714285715,1925.0
2019-08-11,3608,2305,1247,19090.33,5.291111419068737,14.716371030487805,1.1389107538802659,3145.8571428571427,2736.75,17377.92142857143,14759.122500000001,1984.4285714285713
2019-08-12,2573,1630,1060,14136.35,5.494111931597358,13.641825372716674,1.0756548775748154,3143.8571428571427,2764.035714285714,17266.464285714286,14951.028214285714,1990.4285714285713
2019-08-13,2288,1442,1050,13377.9,5.846984265734266,12.208704829982517,1.0305113636363636,3092.1428571428573,2766.6785714285716,17013.905714285713,15058.195357142857,1954.0
2019-08-14,2361,1512,1122,13457.35,5.699851757729776,12.316193704786109,1.0250783566285473,3008.4285714285716,2753.8214285714284,16586.774285714288,15092.219642857144,1908.2857142857142
2019-08-15,2739,1729,1254,15586.58,5.6906097115735665,12.266837035779481,1.0351150054764513,3014.714285714286,2763.464285714286,16678.33714285714,15203.776428571431,1907.2857142857142
2019-08-16,3219,2067,1392,18472.97,5.738729419074247,12.533763081081082,1.071717924821373,3003.8571428571427,2790.9285714285716,16730.682857142856,15404.185357142856,1908.142857142857
2019-08-17,3657,2441,1364,19877.64,5.435504511894996,14.23125968717528,1.1254580257041291,2920.714285714286,2822.1071428571427,16285.58857142857,15597.807499999999,1875.142857142857
2019-08-18,2286,1607,1075,12422.02,5.433954505686789,14.134128022309712,1.0916404199475065,2731.8571428571427,2818.785714285714,15332.972857142857,15603.371428571429,1775.4285714285713
2019-08-19,2092,1364,1042,12401.67,5.928140535372849,11.733094326959847,0.9982122370936903,2663.1428571428573,2819.714285714286,15085.161428571428,15649.941785714285,1737.4285714285713
2019-08-20,2202,1396,1054,12606.12,5.724850136239782,12.543755676203451,1.0095367847411445,2650.8571428571427,2810.1785714285716,14974.907142857144,15625.57107142857,1730.857142857143
2019-08-21,2124,1369,1077,12296.87,5.789486817325801,12.683097926553673,1.0561158192090396,2617.0,2797.25,14809.124285714284,15600.338928571427,1710.4285714285713
2019-08-22,1988,1370,1000,11951.8,6.011971830985915,12.549513755030182,1.0822837022132796,2509.714285714286,2784.1785714285716,14289.87,15574.708928571428,1659.142857142857
2019-08-23,2380,1520,1086,13520.84,5.681025210084034,12.556715689075629,1.0563739495798319,2389.8571428571427,2778.035714285714,13582.422857142856,15573.740000000002,1581.0
2019-08-24,2902,1892,1173,16593.62,5.717994486560992,13.566482888697449,1.1499069607167471,2282.0,2754.964285714286,13113.277142857143,15479.777857142859,1502.5714285714287
2019-08-25,2396,1595,1050,13747.51,5.737691986644408,13.971480242070118,1.1648998330550917,2297.714285714286,2712.035714285714,13302.632857142858,15278.742857142859,1500.857142857143
2019-08-26,1725,1137,944,9647.96,5.593020289855072,11.789536244057972,0.9451362318840579,2245.285714285714,2694.3214285714284,12909.245714285715,15167.50857142857,1468.4285714285713
2019-08-27,2074,1291,1102,12123.7,5.8455641272902605,11.61886050048216,0.9896817743490839,2227.0,2671.3928571428573,12840.328571428572,15038.730714285715,1453.4285714285713
2019-08-28,2011,1274,1032,11909.34,5.922098458478369,11.888032486325212,1.001824962705122,2210.8571428571427,2671.785714285714,12784.967142857144,15040.953214285715,1439.857142857143
2019-08-29,1993,1377,1035,11757.52,5.899407927747115,12.848260575514301,1.0788509784244857,2211.5714285714284,2653.214285714286,12757.212857142858,14969.80857142857,1440.857142857143
2019-08-30,2462,1623,1179,14087.92,5.722144597887896,14.07257650121852,1.124561332250203,2223.285714285714,2652.6071428571427,12838.224285714286,14959.678214285714,1455.5714285714287
2019-08-31,3003,1998,1200,16641.5,5.541625041625042,14.51477410889111,1.151781551781552,2237.714285714286,2625.8214285714284,12845.064285714287,14814.642142857145,1470.7142857142858
2019-09-01,2195,1517,1030,12145.57,5.533289293849658,14.698299169931662,1.1605558086560366,2209.0,2596.1071428571427,12616.215714285714,14657.435714285715,1459.5714285714287
2019-09-02,1551,1010,859,9292.72,5.99143778207608,11.246271215989685,0.9772082527401676,2184.1428571428573,2559.1071428571427,12565.467142857144,14456.584642857142,1441.4285714285713
2019-09-03,1693,1031,904,9435.98,5.573526284701713,11.111478640874187,0.8972888363851151,2129.714285714286,2524.9285714285716,12181.507142857141,14252.662142857142,1404.2857142857142
2019-09-04,1755,1207,968,10175.47,5.797988603988603,12.52188984045584,0.9885527065527066,2093.1428571428573,2482.3571428571427,11933.811428571427,14028.669285714286,1394.7142857142858
2019-09-05,1715,1179,905,10314.99,6.014571428571428,12.531000973177841,1.0676151603498543,2053.4285714285716,2447.3571428571427,11727.735714285713,13863.28892857143,1366.4285714285713
2019-09-06,2336,1563,1078,13356.13,5.717521404109589,13.612150405393836,1.1059888698630138,2035.4285714285713,2413.1071428571427,11623.194285714284,13693.63107142857,1357.857142857143
2019-09-07,2362,1482,1082,13641.77,5.7755165114309905,13.202773068585945,1.0923878069432684,1943.857142857143,2346.0714285714284,11194.661428571428,13359.647857142858,1284.142857142857
2019-09-08,2063,1396,970,11778.29,5.709301987396995,14.384205842947164,1.1709258361609307,1925.0,2290.8928571428573,11142.192857142858,13098.503571428573,1266.857142857143
2019-09-09,947,636,609,5642.61,5.958405491024287,11.153695903907074,0.9384371700105597,1838.7142857142858,2232.8214285714284,10620.748571428572,12795.155714285715,1213.4285714285713
2019-09-10,1481,995,830,8825.22,5.958960162052667,12.68360342606347,1.0451046590141795,1808.4285714285713,2204.0,10533.497142857143,12632.56,1208.2857142857142
2019-09-11,1623,1017,880,9568.77,5.895730129390019,12.288837526186075,1.0371102895871842,1789.5714285714287,2177.6428571428573,10446.825714285715,12493.682142857142,1181.142857142857
2019-09-12,1514,1041,839,8861.48,5.853025099075297,12.564542052840158,1.0149735799207398,1760.857142857143,2133.8928571428573,10239.181428571426,12253.5,1161.4285714285713
2019-09-13,1831,1251,963,10392.77,5.67600764609503,12.416948844893502,1.0307318405243036,1688.7142857142858,2084.3214285714284,9815.844285714285,11964.921428571428,1116.857142857143
2019-09-14,2221,1470,1060,12011.47,5.408135974786132,13.679010972084647,1.0263619990995048,1668.5714285714287,2033.0357142857142,9582.944285714286,11683.986785714285,1115.142857142857
2019-09-15,1530,1101,827,8213.61,5.368372549019608,15.240566449673203,1.1035882352941178,1592.4285714285713,2006.0357142857142,9073.704285714286,11533.686428571427,1073.0
2019-09-16,1136,777,673,6431.14,5.661214788732394,12.140302229753521,0.8860299295774647,1619.4285714285713,1971.892857142857,9186.351428571428,11320.453214285715,1093.142857142857
2019-09-17,964,678,581,5761.72,5.97688796680498,11.60444327593361,0.841856846473029,1545.5714285714287,1927.6785714285713,8748.708571428571,11076.010357142857,1047.857142857143
2019-09-18,1335,835,755,7406.14,5.547670411985019,12.30897628314607,0.8885543071161048,1504.4285714285713,1899.5,8439.761428571428,10901.341428571428,1021.8571428571429
2019-09-19,1299,885,724,7502.11,5.775296381832178,11.848216571978446,0.9863279445727483,1473.7142857142858,1874.892857142857,8245.565714285714,10742.423928571428,999.5714285714286
2019-09-20,1784,1261,872,10328.56,5.789551569506727,12.08150224383408,0.983127802690583,1467.0,1853.607142857143,8236.392857142857,10628.413928571428,1001.0
2019-09-21,2274,1519,982,12149.51,5.342792436235708,14.661690123570798,1.0733948988566404,1474.5714285714287,1831.1785714285713,8256.112857142858,10469.695714285714,1008.0
2019-09-22,7437,3329,1373,28549.91,3.838901438752185,14.5779324090359,0.8492174263816055,2318.4285714285716,2011.2142857142858,11161.298571428571,10998.352857142858,1326.2857142857142
2019-09-23,1222,843,558,6608.37,5.407831423895254,14.369803594108019,0.9842307692307692,2330.714285714286,1993.25,11186.617142857143,10889.796071428573,1335.7142857142858
2019-09-24,1381,986,672,7929.63,5.741947863866764,12.866171851556842,0.9284648805213613,2390.285714285714,1968.5,11496.318571428574,10740.007857142858,1379.7142857142858
2019-09-25,1223,871,673,6720.83,5.495363859362224,12.630893963205233,0.9274897792313982,2374.285714285714,1940.357142857143,11398.417142857143,10554.703928571427,1384.857142857143
2019-09-26,1482,1037,723,8268.0,5.578947368421052,14.24621006680162,1.025161943319838,2400.4285714285716,1922.107142857143,11507.83,10430.078214285715,1406.5714285714287
2019-09-27,1017,707,569,5585.91,5.492536873156342,13.050245812192722,0.9232448377581121,2290.8571428571427,1870.5,10830.308571428572,10126.435,1327.4285714285713
2019-09-28,1250,925,605,6917.09,5.533672,14.1394000144,1.0241280000000001,2144.5714285714284,1807.892857142857,10082.820000000002,9779.134642857141,1242.5714285714287
2019-09-29,792,588,451,4612.0,5.8232323232323235,13.78148148989899,0.9887247474747476,1195.2857142857142,1757.7857142857142,6663.118571428572,9510.078571428572,851.0
2019-09-30,817,545,492,4513.24,5.524161566707466,12.108833123623011,0.8914320685434516,1137.4285714285713,1731.5714285714287,6363.814285714286,9339.382857142857,808.4285714285714
2019-10-01,1016,703,551,5938.22,5.844704724409449,11.190633206692914,0.8920964566929134,1085.2857142857142,1707.392857142857,6079.327142857143,9214.462857142857,768.0
2019-10-02,1310,860,663,7551.6,5.764580152671756,10.953994917557251,0.8280229007633588,1097.7142857142858,1691.5,6198.0085714285715,9120.753214285714,766.4285714285714
2019-10-03,1149,811,566,6134.13,5.338668407310705,14.039701181026981,0.9606962576153176,1050.142857142857,1671.2857142857142,5893.17,8971.436785714286,734.1428571428571
2019-10-04,894,549,504,4654.43,5.2062975391498885,11.119686807606264,0.7802684563758389,1032.5714285714287,1619.7857142857142,5760.101428571429,8660.661785714286,711.5714285714286
2019-10-05,1118,783,543,5824.31,5.209579606440072,14.624642228980322,0.9718515205724508,1013.7142857142857,1575.357142857143,5603.99,8381.466785714287,691.2857142857143
2019-10-06,951,683,505,5315.38,5.589253417455311,13.996144405888538,0.9494006309148265,1036.4285714285713,1535.642857142857,5704.472857142857,8150.648571428572,704.8571428571429
2019-10-07,82,78,68,604.61,7.373292682926829,8.553252060975609,0.9360975609756098,931.4285714285714,1504.75,5146.097142857143,7970.72,638.1428571428571
